category name,category_link
Supermarket,https://www.jumia.co.ke/groceries/
Grocery,https://www.jumia.co.ke/groceries/
"Beer, Wine & Spirits",https://www.jumia.co.ke/beers-wine-spirits/
Beverages,https://www.jumia.co.ke/beverages/
Bakery,https://www.jumia.co.ke/breads-bakery/
Candy & Chocolate,https://www.jumia.co.ke/candy-chocolate/
"Canned, Jarred & Packaged Foods",https://www.jumia.co.ke/canned-jarred-packaged-foods/
Cleaning Tools,https://www.jumia.co.ke/home-cleaning-tools/
Cooking & Baking,https://www.jumia.co.ke/cooking-baking/
"Dairy, Cheese & Eggs",https://www.jumia.co.ke/diary-cheese-eggs/
Drinks,https://www.jumia.co.ke/drinks/
Food Cupboard,https://www.jumia.co.ke/food-cupboard-supplies/
"Herbs, Spices & Seasonings",https://www.jumia.co.ke/herbs-spices-seasonings/
Household Cleaning,https://www.jumia.co.ke/household-cleaning/
Household Supplies,https://www.jumia.co.ke/household-supplies/
Laundry,https://www.jumia.co.ke/laundry-supplies/
Lighters & Matches,https://www.jumia.co.ke/grocery-mathces-fire-lighters/
Paper & Plastic,https://www.jumia.co.ke/paper-plastic-household-supplies/
Tobacco-Related Products,https://www.jumia.co.ke/tobacco-related-products/
"Bundles, Hampers & Gifts",https://www.jumia.co.ke/bundles-hampers-gifts/
Grocery,https://www.jumia.co.ke/groceries/
"Beer, Wine & Spirits",https://www.jumia.co.ke/beers-wine-spirits/
Beverages,https://www.jumia.co.ke/beverages/
Bakery,https://www.jumia.co.ke/breads-bakery/
Candy & Chocolate,https://www.jumia.co.ke/candy-chocolate/
"Canned, Jarred & Packaged Foods",https://www.jumia.co.ke/canned-jarred-packaged-foods/
Cleaning Tools,https://www.jumia.co.ke/home-cleaning-tools/
Cooking & Baking,https://www.jumia.co.ke/cooking-baking/
"Dairy, Cheese & Eggs",https://www.jumia.co.ke/diary-cheese-eggs/
Drinks,https://www.jumia.co.ke/drinks/
Food Cupboard,https://www.jumia.co.ke/food-cupboard-supplies/
"Herbs, Spices & Seasonings",https://www.jumia.co.ke/herbs-spices-seasonings/
Household Cleaning,https://www.jumia.co.ke/household-cleaning/
Household Supplies,https://www.jumia.co.ke/household-supplies/
Laundry,https://www.jumia.co.ke/laundry-supplies/
Lighters & Matches,https://www.jumia.co.ke/grocery-mathces-fire-lighters/
Paper & Plastic,https://www.jumia.co.ke/paper-plastic-household-supplies/
Tobacco-Related Products,https://www.jumia.co.ke/tobacco-related-products/
"Bundles, Hampers & Gifts",https://www.jumia.co.ke/bundles-hampers-gifts/
Grocery,https://www.jumia.co.ke/groceries/
"Beer, Wine & Spirits",https://www.jumia.co.ke/beers-wine-spirits/
Beverages,https://www.jumia.co.ke/beverages/
Bakery,https://www.jumia.co.ke/breads-bakery/
Candy & Chocolate,https://www.jumia.co.ke/candy-chocolate/
"Canned, Jarred & Packaged Foods",https://www.jumia.co.ke/canned-jarred-packaged-foods/
Cleaning Tools,https://www.jumia.co.ke/home-cleaning-tools/
Cooking & Baking,https://www.jumia.co.ke/cooking-baking/
"Dairy, Cheese & Eggs",https://www.jumia.co.ke/diary-cheese-eggs/
Drinks,https://www.jumia.co.ke/drinks/
Food Cupboard,https://www.jumia.co.ke/food-cupboard-supplies/
"Herbs, Spices & Seasonings",https://www.jumia.co.ke/herbs-spices-seasonings/
Household Cleaning,https://www.jumia.co.ke/household-cleaning/
Household Supplies,https://www.jumia.co.ke/household-supplies/
Laundry,https://www.jumia.co.ke/laundry-supplies/
Lighters & Matches,https://www.jumia.co.ke/grocery-mathces-fire-lighters/
Paper & Plastic,https://www.jumia.co.ke/paper-plastic-household-supplies/
Tobacco-Related Products,https://www.jumia.co.ke/tobacco-related-products/
"Bundles, Hampers & Gifts",https://www.jumia.co.ke/bundles-hampers-gifts/
Grocery,https://www.jumia.co.ke/groceries/
"Beer, Wine & Spirits",https://www.jumia.co.ke/beers-wine-spirits/
Beverages,https://www.jumia.co.ke/beverages/
Bakery,https://www.jumia.co.ke/breads-bakery/
Candy & Chocolate,https://www.jumia.co.ke/candy-chocolate/
"Canned, Jarred & Packaged Foods",https://www.jumia.co.ke/canned-jarred-packaged-foods/
Cleaning Tools,https://www.jumia.co.ke/home-cleaning-tools/
Cooking & Baking,https://www.jumia.co.ke/cooking-baking/
"Dairy, Cheese & Eggs",https://www.jumia.co.ke/diary-cheese-eggs/
Drinks,https://www.jumia.co.ke/drinks/
Food Cupboard,https://www.jumia.co.ke/food-cupboard-supplies/
"Herbs, Spices & Seasonings",https://www.jumia.co.ke/herbs-spices-seasonings/
Household Cleaning,https://www.jumia.co.ke/household-cleaning/
Household Supplies,https://www.jumia.co.ke/household-supplies/
Laundry,https://www.jumia.co.ke/laundry-supplies/
Lighters & Matches,https://www.jumia.co.ke/grocery-mathces-fire-lighters/
Paper & Plastic,https://www.jumia.co.ke/paper-plastic-household-supplies/
Tobacco-Related Products,https://www.jumia.co.ke/tobacco-related-products/
"Bundles, Hampers & Gifts",https://www.jumia.co.ke/bundles-hampers-gifts/
Grocery,https://www.jumia.co.ke/groceries/
"Beer, Wine & Spirits",https://www.jumia.co.ke/beers-wine-spirits/
Beverages,https://www.jumia.co.ke/beverages/
Bakery,https://www.jumia.co.ke/breads-bakery/
Candy & Chocolate,https://www.jumia.co.ke/candy-chocolate/
"Canned, Jarred & Packaged Foods",https://www.jumia.co.ke/canned-jarred-packaged-foods/
Cleaning Tools,https://www.jumia.co.ke/home-cleaning-tools/
Cooking & Baking,https://www.jumia.co.ke/cooking-baking/
"Dairy, Cheese & Eggs",https://www.jumia.co.ke/diary-cheese-eggs/
Drinks,https://www.jumia.co.ke/drinks/
Food Cupboard,https://www.jumia.co.ke/food-cupboard-supplies/
"Herbs, Spices & Seasonings",https://www.jumia.co.ke/herbs-spices-seasonings/
Household Cleaning,https://www.jumia.co.ke/household-cleaning/
Household Supplies,https://www.jumia.co.ke/household-supplies/
Laundry,https://www.jumia.co.ke/laundry-supplies/
Lighters & Matches,https://www.jumia.co.ke/grocery-mathces-fire-lighters/
Paper & Plastic,https://www.jumia.co.ke/paper-plastic-household-supplies/
Tobacco-Related Products,https://www.jumia.co.ke/tobacco-related-products/
"Bundles, Hampers & Gifts",https://www.jumia.co.ke/bundles-hampers-gifts/
Grocery,https://www.jumia.co.ke/groceries/
"Beer, Wine & Spirits",https://www.jumia.co.ke/beers-wine-spirits/
Beverages,https://www.jumia.co.ke/beverages/
Bakery,https://www.jumia.co.ke/breads-bakery/
